Campaign_ID,Page_Views,Session Duration,Bounce Rate,Traffic Source,Time on Page,Previous Visits,Conversion Rate,Company,Campaign_Type,Target_Audience,Duration,channels,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,,Date,profit margin
1114,6,9.583068225,0.218959125,Direct,4.680731114,0,1,Innovate Industries,Display,Men 18-24,15 days,Email,0.06,"$16,146.00",4.04,Miami,Spanish,559,7335,9,Tech Enthusiasts,19/01/2021,Loss
1115,6,3.054465899,0.095085623,Organic,2.090078409,3,1,TechCorp,Email,Men 18-24,60 days,Instagram,0.07,"$15,607.00",3.48,Miami,German,632,8634,6,Tech Enthusiasts,20/01/2021,Loss
1116,7,5.632872192,0.369939547,Direct,0.303633978,0,1,DataTech Solutions,Social Media,Men 18-24,15 days,YouTube,0.05,"$14,985.00",5.6,New York,Mandarin,229,5185,3,Tech Enthusiasts,21/01/2021,Profit
1117,4,2.330014977,0.59447252,Social,10.39256813,0,1,Innovate Industries,Search,Women 25-34,60 days,Google Ads,0.06,"$17,359.00",4.91,Chicago,English,422,9092,7,Foodies,22/01/2021,Loss
1118,3,1.604724112,0.158088964,Referral,6.630967651,2,1,Alpha Innovations,Display,Women 25-34,30 days,Google Ads,0.11,"$9,925.00",5.25,Chicago,Spanish,183,6148,4,Outdoor Adventurers,23/01/2021,Profit
1119,8,11.34073594,0.249430605,Referral,3.827702722,3,1,DataTech Solutions,Social Media,Women 25-34,60 days,Facebook,0.04,"$9,441.00",5.24,Miami,English,783,2998,3,Outdoor Adventurers,24/01/2021,Profit
1120,4,2.617692748,0.172679185,Organic,2.309530554,0,1,NexGen Systems,Influencer,All Ages,15 days,Email,0.02,"$16,223.00",5.87,Houston,English,271,4829,10,Outdoor Adventurers,25/01/2021,Profit
1121,5,6.049368291,0.205385241,Direct,2.470715458,1,1,TechCorp,Social Media,Women 25-34,45 days,Instagram,0.15,"$17,378.00",7.61,Miami,English,599,1933,2,Fashionistas,26/01/2021,Profit
1122,5,9.191544927,0.236180577,Organic,1.419464755,3,1,NexGen Systems,Influencer,All Ages,15 days,Google Ads,0.1,"$8,972.00",6.26,Los Angeles,Mandarin,441,6555,5,Fashionistas,27/01/2021,Profit
1123,3,3.375065557,0.180280099,Paid,3.511426392,1,1,Alpha Innovations,Display,Men 25-34,30 days,YouTube,0.03,"$11,862.00",3.96,Los Angeles,Mandarin,224,7841,6,Health & Wellness,28/01/2021,Loss
1124,9,2.388455943,0.337747101,Organic,13.1017075,3,1,NexGen Systems,Display,All Ages,30 days,Facebook,0.05,"$7,215.00",5.84,Miami,Mandarin,718,6491,1,Foodies,29/01/2021,Profit
1125,8,0.010551085,0.055157793,Paid,2.999242421,1,1,Alpha Innovations,Influencer,Men 25-34,45 days,YouTube,0.07,"$14,858.00",6.56,Los Angeles,German,608,7267,6,Fashionistas,30/01/2021,Profit
1126,6,0.122527361,0.328100166,Referral,5.499781595,1,1,TechCorp,Display,Women 35-44,15 days,Instagram,0.08,"$11,918.00",7.52,Houston,French,490,9394,9,Foodies,31/01/2021,Profit
1127,3,0.672624414,0.180182245,Direct,1.79433705,2,1,Alpha Innovations,Influencer,All Ages,15 days,Instagram,0.01,"$17,380.00",4.86,Miami,French,303,4035,1,Outdoor Adventurers,01/02/2021,Loss
1128,5,0.617415815,0.135115826,Paid,3.791222908,3,1,NexGen Systems,Influencer,Men 18-24,30 days,YouTube,0.04,"$9,649.00",5.63,Los Angeles,French,624,3250,7,Fashionistas,02/02/2021,Profit
1129,5,0.882142045,0.183999644,Direct,2.00950028,0,0.918515776,Alpha Innovations,Influencer,Women 25-34,45 days,Email,0.09,"$19,192.00",6.02,Chicago,English,930,8704,7,Foodies,03/02/2021,Profit
1130,5,1.091248174,0.549698113,Paid,3.373469032,1,1,NexGen Systems,Search,Men 25-34,15 days,Website,0.09,"$12,752.00",7.14,Chicago,English,599,5013,6,Outdoor Adventurers,04/02/2021,Profit
1131,3,1.339168325,0.332013727,Organic,7.946062333,3,1,TechCorp,Email,Women 25-34,45 days,Instagram,0.01,"$13,448.00",4.85,Miami,Spanish,645,4981,6,Fashionistas,05/02/2021,Loss
1132,7,1.636963972,0.419609466,Organic,4.165342444,1,1,TechCorp,Social Media,Men 25-34,15 days,Instagram,0.11,"$14,134.00",4.82,Los Angeles,Mandarin,964,9933,8,Tech Enthusiasts,06/02/2021,Loss
1133,3,0.312305053,0.12459563,Referral,7.74144437,5,1,NexGen Systems,Search,Men 25-34,15 days,Instagram,0.02,"$11,417.00",5.89,New York,German,755,8314,4,Health & Wellness,07/02/2021,Profit
1134,0,0.129856116,0.135796635,Organic,7.932359789,1,1,Innovate Industries,Influencer,Men 25-34,15 days,Facebook,0.15,"$8,905.00",6.33,Houston,Mandarin,378,5518,2,Health & Wellness,08/02/2021,Profit
1135,6,3.362062532,0.452676352,Paid,2.590288205,1,1,Alpha Innovations,Social Media,All Ages,45 days,Instagram,0.13,"$9,545.00",3.23,Los Angeles,German,263,2369,1,Health & Wellness,09/02/2021,Loss
1136,6,2.312254951,0.353594686,Organic,9.217724025,5,1,DataTech Solutions,Email,Men 18-24,15 days,Email,0.05,"$10,596.00",2.03,Chicago,German,768,9505,2,Health & Wellness,10/02/2021,Loss
1137,4,1.761739125,0.17543121,Paid,4.379389438,2,1,NexGen Systems,Search,Men 18-24,15 days,Instagram,0.1,"$13,263.00",7.51,Miami,English,515,2644,7,Foodies,11/02/2021,Profit
1138,5,3.018974081,0.053563872,Referral,4.150223524,1,1,TechCorp,Influencer,Women 25-34,45 days,Facebook,0.02,"$8,683.00",5.49,Los Angeles,Spanish,290,9970,9,Foodies,12/02/2021,Profit
1139,9,5.275195876,0.299723516,Paid,1.977556563,2,1,DataTech Solutions,Email,All Ages,60 days,YouTube,0.14,"$14,398.00",5.18,New York,French,473,7580,9,Foodies,13/02/2021,Profit
1140,5,1.674238678,0.250898313,Organic,6.827932458,1,1,TechCorp,Search,Women 25-34,15 days,YouTube,0.15,"$19,584.00",2.09,New York,German,997,2857,8,Fashionistas,14/02/2021,Loss
1141,4,3.074297153,0.205747343,Organic,4.617831932,1,1,NexGen Systems,Search,All Ages,15 days,Email,0.08,"$19,509.00",7.83,Los Angeles,French,563,4062,2,Outdoor Adventurers,15/02/2021,Profit
1142,3,9.209572124,0.213445624,Organic,1.881230254,3,1,Alpha Innovations,Social Media,All Ages,30 days,Instagram,0.1,"$14,209.00",7.65,New York,English,504,6662,8,Health & Wellness,16/02/2021,Profit
1143,6,5.490711938,0.522812175,Organic,4.962936051,3,1,TechCorp,Influencer,All Ages,45 days,YouTube,0.05,"$11,127.00",5.66,New York,French,409,4617,5,Health & Wellness,17/02/2021,Profit
1144,2,1.665381884,0.326730382,Paid,1.184025979,3,1,Alpha Innovations,Social Media,Women 25-34,30 days,Website,0.12,"$19,765.00",3.9,New York,Spanish,986,6331,7,Outdoor Adventurers,18/02/2021,Loss
1145,6,3.104520502,0.182866969,Referral,1.126836188,1,1,TechCorp,Display,Men 18-24,45 days,Email,0.09,"$5,735.00",4.31,New York,English,806,2542,4,Fashionistas,19/02/2021,Loss
1146,6,0.584655771,0.205405196,Organic,3.276582855,2,1,Alpha Innovations,Display,Men 25-34,60 days,Website,0.11,"$11,503.00",5.51,New York,French,101,8500,2,Tech Enthusiasts,20/02/2021,Profit
1147,6,2.466504122,0.637414976,Paid,2.420250184,3,1,TechCorp,Email,Women 25-34,15 days,Google Ads,0.13,"$17,283.00",3.48,Los Angeles,French,120,7828,7,Foodies,21/02/2021,Loss
1148,5,11.94223739,0.436523696,Paid,2.56502266,2,1,Innovate Industries,Influencer,Men 25-34,15 days,Facebook,0.13,"$19,438.00",4.46,Los Angeles,English,661,4671,2,Tech Enthusiasts,22/02/2021,Loss
1149,3,2.191395434,0.304550668,Organic,7.679903233,0,1,NexGen Systems,Email,All Ages,45 days,Google Ads,0.04,"$15,887.00",2.99,Houston,Mandarin,796,2663,7,Fashionistas,23/02/2021,Loss
1150,4,7.878234342,0.341995915,Paid,3.753003661,1,1,Innovate Industries,Influencer,All Ages,30 days,Facebook,0.04,"$5,161.00",5.67,Chicago,German,893,4422,1,Outdoor Adventurers,24/02/2021,Profit
1151,4,1.569377489,0.546451649,Organic,2.415192106,1,0.807179877,Alpha Innovations,Search,All Ages,60 days,Website,0.06,"$5,477.00",3.24,Houston,French,728,4607,4,Outdoor Adventurers,25/02/2021,Loss
1152,5,20.29051597,0.599826511,Paid,1.256012526,1,1,Innovate Industries,Social Media,Women 25-34,15 days,Google Ads,0.02,"$16,392.00",7.86,Houston,English,892,4104,7,Fashionistas,26/02/2021,Profit
1153,4,2.596935693,0.439566658,Social,4.364215257,3,1,NexGen Systems,Email,Men 18-24,45 days,Google Ads,0.1,"$15,726.00",2.25,Miami,German,167,9628,4,Tech Enthusiasts,27/02/2021,Loss
1154,4,0.129564983,0.235495826,Organic,5.084662936,1,1,Alpha Innovations,Influencer,Women 25-34,30 days,YouTube,0.14,"$9,693.00",7.07,Houston,French,809,6847,8,Health & Wellness,28/02/2021,Profit
1155,5,2.651142449,0.260372473,Referral,5.333400328,0,1,DataTech Solutions,Search,Men 25-34,15 days,Facebook,0.13,"$17,301.00",2.63,Chicago,French,493,1143,9,Health & Wellness,01/03/2021,Loss
1156,5,0.962983237,0.649049815,Paid,2.723776333,3,1,NexGen Systems,Email,Men 18-24,45 days,Facebook,0.07,"$10,528.00",7.86,Houston,French,519,2375,5,Fashionistas,02/03/2021,Profit
1157,5,0.099061647,0.408519172,Organic,0.674956946,2,1,Innovate Industries,Display,Women 25-34,15 days,Google Ads,0.01,"$6,939.00",5.87,New York,German,868,9416,8,Foodies,03/03/2021,Profit
1158,7,5.158650846,0.092141603,Referral,7.881332997,3,1,DataTech Solutions,Email,Men 18-24,45 days,Email,0.1,"$12,367.00",3.35,New York,German,299,1863,2,Fashionistas,04/03/2021,Loss
1159,3,0.96777158,0.459311323,Paid,1.198254921,2,0.798351528,TechCorp,Search,Men 18-24,30 days,Website,0.12,"$7,910.00",3.27,Houston,English,786,9483,9,Fashionistas,05/03/2021,Loss
1160,2,4.776983692,0.251689063,Paid,2.754811376,2,1,TechCorp,Social Media,Women 35-44,45 days,Facebook,0.12,"$6,708.00",2.26,Houston,German,268,6272,8,Foodies,06/03/2021,Loss
1161,4,1.019949025,0.400943368,Referral,5.406629208,2,1,DataTech Solutions,Display,Women 35-44,15 days,Instagram,0.1,"$7,666.00",5.44,Los Angeles,Spanish,284,7676,7,Foodies,07/03/2021,Profit
1162,4,0.648229572,0.114521688,Social,4.687511271,5,1,Alpha Innovations,Display,Men 18-24,30 days,Facebook,0.01,"$5,252.00",5.28,New York,Mandarin,190,7902,3,Tech Enthusiasts,08/03/2021,Profit
1163,6,10.94155166,0.322771454,Direct,1.705017876,0,1,TechCorp,Social Media,Men 18-24,45 days,Instagram,0.11,"$19,256.00",2.32,Los Angeles,Spanish,937,1215,1,Health & Wellness,09/03/2021,Loss
1164,3,1.346583712,0.266277713,Referral,11.77041037,2,1,NexGen Systems,Display,Men 25-34,60 days,Website,0.09,"$18,364.00",2,Los Angeles,Spanish,704,5626,5,Tech Enthusiasts,10/03/2021,Loss
1165,5,2.759211578,0.319642542,Social,2.701509939,2,1,Alpha Innovations,Email,Men 18-24,45 days,Facebook,0.14,"$10,702.00",6.18,Los Angeles,German,254,8482,7,Foodies,11/03/2021,Profit
1166,5,2.82468326,0.174692955,Organic,3.851562972,2,1,Innovate Industries,Email,Men 25-34,30 days,Google Ads,0.1,"$5,520.00",7.9,New York,German,257,4779,10,Health & Wellness,12/03/2021,Profit
1167,5,2.466171682,0.239871776,Paid,4.027801339,2,1,Alpha Innovations,Display,Men 18-24,60 days,Website,0.09,"$19,294.00",5.68,New York,Spanish,825,8314,9,Fashionistas,13/03/2021,Profit
1168,5,7.384592777,0.247697358,Organic,4.754937769,0,1,Innovate Industries,Search,Women 35-44,45 days,Website,0.12,"$15,356.00",4.64,Houston,Mandarin,905,3116,5,Foodies,14/03/2021,Loss
1169,3,3.36663538,0.315357438,Organic,4.844595689,3,1,DataTech Solutions,Email,Women 25-34,60 days,Instagram,0.03,"$6,684.00",6.5,Chicago,Spanish,824,3850,7,Tech Enthusiasts,15/03/2021,Profit
1170,10,1.551200198,0.396161573,Paid,2.250475284,1,0.963958394,TechCorp,Social Media,Men 25-34,45 days,Email,0.03,"$6,440.00",5.21,Houston,French,883,5190,4,Foodies,16/03/2021,Profit
1171,5,5.949785428,0.278134049,Referral,0.102496747,0,1,Alpha Innovations,Influencer,Women 25-34,30 days,Email,0.06,"$10,205.00",5.33,Houston,German,823,3836,9,Fashionistas,17/03/2021,Profit
1172,4,0.599243994,0.508117442,Paid,4.24509886,3,1,TechCorp,Influencer,Women 35-44,30 days,Facebook,0.09,"$12,273.00",6.41,Chicago,English,656,5109,3,Tech Enthusiasts,18/03/2021,Profit
1173,4,2.357345429,0.406161969,Referral,1.008315856,1,1,Alpha Innovations,Influencer,Men 25-34,15 days,Instagram,0.04,"$18,230.00",5.25,Miami,Mandarin,972,7060,6,Tech Enthusiasts,19/03/2021,Profit
1174,7,9.020402228,0.223846466,Paid,3.474143419,1,1,NexGen Systems,Display,Women 25-34,30 days,Facebook,0.03,"$6,437.00",5.29,Houston,French,426,2249,4,Tech Enthusiasts,20/03/2021,Profit
1175,3,2.945670486,0.247897109,Paid,5.012865629,4,1,NexGen Systems,Email,Men 25-34,15 days,Google Ads,0.12,"$17,550.00",7.01,Miami,Mandarin,163,4992,4,Outdoor Adventurers,21/03/2021,Profit
1176,6,5.094290218,0.147544979,Organic,3.808265526,1,1,NexGen Systems,Search,Women 35-44,15 days,Facebook,0.1,"$15,111.00",3.62,Miami,English,979,7222,9,Outdoor Adventurers,22/03/2021,Loss
1177,2,3.180143189,0.217055477,Organic,2.404854039,4,1,NexGen Systems,Search,Women 35-44,60 days,Website,0.06,"$5,111.00",5.31,Houston,German,918,5611,9,Tech Enthusiasts,23/03/2021,Profit
1178,4,5.485971214,0.224550397,Organic,2.870268267,2,1,TechCorp,Influencer,Women 25-34,60 days,Email,0.09,"$9,373.00",2.77,Chicago,Spanish,395,5952,9,Fashionistas,24/03/2021,Loss
1179,4,8.673461703,0.453154378,Referral,10.87521453,2,1,Alpha Innovations,Social Media,Women 25-34,15 days,Facebook,0.09,"$7,834.00",2.36,Miami,Mandarin,601,3533,8,Health & Wellness,25/03/2021,Loss
1180,4,0.956163427,0.142945443,Organic,3.320565537,1,1,NexGen Systems,Influencer,Women 25-34,30 days,Instagram,0.06,"$18,131.00",5.7,Los Angeles,German,812,8953,4,Fashionistas,26/03/2021,Profit
1181,8,0.557763977,0.276850163,Organic,1.012378307,2,1,DataTech Solutions,Search,Men 18-24,15 days,Email,0.08,"$9,160.00",6.21,Chicago,German,640,3840,10,Outdoor Adventurers,27/03/2021,Profit
1182,5,1.984891764,0.232690971,Referral,1.419355488,0,1,DataTech Solutions,Influencer,All Ages,60 days,Facebook,0.06,"$8,411.00",2.66,Houston,English,161,7493,8,Foodies,28/03/2021,Loss
1183,8,3.630600732,0.32184011,Paid,6.43571968,1,1,TechCorp,Search,All Ages,60 days,Google Ads,0.02,"$10,862.00",4.34,Los Angeles,Spanish,515,7070,6,Health & Wellness,29/03/2021,Loss
1184,5,0.773171033,0.323819472,Paid,0.850059169,7,1,NexGen Systems,Email,Women 35-44,45 days,YouTube,0.08,"$8,422.00",3.42,New York,English,758,1455,7,Tech Enthusiasts,30/03/2021,Loss
1185,7,0.012329653,0.253749422,Organic,1.956763313,4,1,DataTech Solutions,Search,Men 25-34,60 days,Email,0.06,"$18,330.00",4.57,Los Angeles,German,156,5696,3,Foodies,31/03/2021,Loss
1186,8,1.259917521,0.186107184,Paid,4.600349271,2,1,Alpha Innovations,Social Media,All Ages,60 days,Google Ads,0.05,"$19,233.00",3.65,New York,Spanish,122,8862,5,Health & Wellness,01/04/2021,Loss
1187,3,10.40772232,0.637170994,Social,3.230278394,0,1,Innovate Industries,Display,Women 25-34,45 days,Google Ads,0.15,"$7,237.00",7.02,Los Angeles,French,357,2674,10,Tech Enthusiasts,02/04/2021,Profit
1188,4,3.562010465,0.260869096,Social,3.252520683,4,1,TechCorp,Social Media,All Ages,30 days,Instagram,0.02,"$10,286.00",3.72,New York,Spanish,440,1835,3,Fashionistas,03/04/2021,Loss
1189,6,1.539111422,0.657824952,Referral,7.505771372,2,1,Alpha Innovations,Influencer,All Ages,60 days,Email,0.04,"$18,227.00",4.86,Miami,Mandarin,962,5137,5,Foodies,04/04/2021,Loss
1190,4,0.6417194,0.339417148,Organic,0.442690359,2,0.72809745,Innovate Industries,Social Media,All Ages,45 days,Website,0.03,"$14,614.00",2.41,Chicago,German,468,6010,9,Foodies,05/04/2021,Loss
1191,4,1.320587423,0.20149683,Referral,4.71029678,1,1,Alpha Innovations,Display,Women 25-34,60 days,Email,0.11,"$15,690.00",3.72,Los Angeles,French,510,1815,6,Outdoor Adventurers,06/04/2021,Loss
1192,6,0.558408429,0.215797836,Organic,9.481496265,3,1,NexGen Systems,Social Media,Women 35-44,30 days,Website,0.04,"$15,047.00",6.73,Miami,French,419,8498,1,Tech Enthusiasts,07/04/2021,Profit
1193,2,0.337174933,0.105208317,Organic,2.629227638,3,1,DataTech Solutions,Social Media,Women 25-34,45 days,Google Ads,0.15,"$19,216.00",6.52,New York,French,503,2413,9,Fashionistas,08/04/2021,Profit
1194,4,7.117168285,0.367161074,Organic,2.48602448,1,1,TechCorp,Display,Women 35-44,60 days,Google Ads,0.12,"$18,954.00",6.71,Los Angeles,French,103,5640,9,Fashionistas,09/04/2021,Profit
1195,2,18.16045185,0.046768183,Social,4.172996058,2,1,TechCorp,Display,Men 18-24,30 days,Website,0.13,"$15,225.00",4.89,Miami,Spanish,273,3357,9,Fashionistas,10/04/2021,Loss
1196,8,0.537790694,0.329165577,Referral,3.18845116,1,1,Innovate Industries,Social Media,Men 25-34,45 days,Email,0.07,"$9,135.00",4.22,Miami,German,384,4130,8,Health & Wellness,11/04/2021,Loss
1197,7,0.168195751,0.146456612,Referral,5.28639563,0,1,TechCorp,Search,Women 25-34,60 days,Facebook,0.09,"$5,725.00",2.12,Chicago,Spanish,783,2198,4,Foodies,12/04/2021,Loss
1198,2,1.200228943,0.29849452,Referral,2.885891879,4,1,NexGen Systems,Influencer,Men 25-34,15 days,Website,0.15,"$13,571.00",3.98,Los Angeles,French,884,9638,2,Health & Wellness,13/04/2021,Loss
1199,5,1.857790279,0.297902311,Organic,3.578461975,1,1,Alpha Innovations,Email,All Ages,30 days,Instagram,0.06,"$19,735.00",7.58,Houston,Spanish,186,2223,6,Health & Wellness,14/04/2021,Profit
1200,6,0.687565029,0.155292964,Paid,0.906900992,4,1,Alpha Innovations,Display,Women 35-44,45 days,Website,0.06,"$6,397.00",5.91,Miami,French,655,4663,4,Foodies,15/04/2021,Profit
1201,7,1.076137821,0.19845493,Referral,3.499397754,3,1,NexGen Systems,Influencer,Women 35-44,45 days,Instagram,0.12,"$17,670.00",7.12,Los Angeles,Mandarin,759,7663,3,Health & Wellness,16/04/2021,Profit
1202,7,0.672697691,0.482317615,Referral,3.068580119,1,0.673259701,DataTech Solutions,Display,Women 35-44,15 days,Facebook,0.04,"$9,212.00",6.3,Houston,German,118,8405,4,Outdoor Adventurers,17/04/2021,Profit
1203,7,4.465121708,0.504348112,Social,9.330936061,3,1,TechCorp,Search,All Ages,30 days,Facebook,0.01,"$16,546.00",4.02,Los Angeles,German,757,2053,7,Foodies,18/04/2021,Loss
1204,6,3.740410687,0.279626004,Organic,5.779129043,1,1,Alpha Innovations,Search,Men 25-34,60 days,Email,0.14,"$8,200.00",3.58,Houston,Mandarin,775,6975,10,Outdoor Adventurers,19/04/2021,Loss
1205,5,3.023175302,0.388317071,Social,4.013596729,0,1,Innovate Industries,Email,All Ages,45 days,Instagram,0.12,"$10,159.00",3.45,New York,Spanish,349,8179,7,Tech Enthusiasts,20/04/2021,Loss
1206,5,1.469237403,0.582059611,Paid,4.597228195,2,1,Alpha Innovations,Social Media,Women 35-44,60 days,Instagram,0.05,"$5,712.00",4.41,Houston,French,573,8646,2,Outdoor Adventurers,21/04/2021,Loss
1207,8,7.192037335,0.269988203,Referral,3.252713018,0,1,Alpha Innovations,Search,Men 18-24,60 days,Website,0.14,"$10,229.00",3.91,Los Angeles,German,831,5825,8,Tech Enthusiasts,22/04/2021,Loss
1208,7,10.4732883,0.11467969,Paid,3.10018259,3,1,TechCorp,Search,Women 35-44,60 days,Google Ads,0.15,"$10,358.00",3.87,Miami,German,985,6974,10,Foodies,23/04/2021,Loss
1209,4,0.5721718,0.51298022,Direct,5.281506723,2,1,DataTech Solutions,Search,Men 25-34,30 days,Google Ads,0.1,"$10,783.00",5.24,New York,Mandarin,715,3450,9,Fashionistas,24/04/2021,Profit
1210,5,0.756993595,0.122374954,Organic,1.872851029,2,1,Alpha Innovations,Social Media,Women 25-34,60 days,Facebook,0.11,"$11,096.00",4.51,Houston,French,806,4353,7,Fashionistas,25/04/2021,Loss
1211,8,2.237309514,0.131937928,Referral,2.138449864,2,1,NexGen Systems,Search,Women 25-34,60 days,Instagram,0.05,"$11,780.00",5.45,Miami,German,376,6635,5,Fashionistas,26/04/2021,Profit
1212,5,0.28705763,0.39011813,Paid,0.650606255,4,0.545714998,DataTech Solutions,Email,Women 25-34,45 days,Email,0.04,"$12,054.00",6.48,Los Angeles,Spanish,140,4599,8,Fashionistas,27/04/2021,Profit
1213,2,1.720489131,0.134576452,Organic,2.645881105,0,0.811921478,TechCorp,Email,Women 35-44,60 days,Email,0.06,"$15,947.00",5.73,Miami,Spanish,198,1820,1,Foodies,28/04/2021,Profit
1214,3,2.615323814,0.067174133,Organic,3.220668961,0,1,Alpha Innovations,Influencer,Men 25-34,45 days,Facebook,0.09,"$13,432.00",2.81,Houston,Mandarin,868,2221,9,Foodies,29/04/2021,Loss
1215,7,2.214895419,0.220278768,Social,4.28050596,2,1,Innovate Industries,Search,Men 18-24,15 days,Website,0.06,"$12,031.00",7.41,Los Angeles,German,513,9586,5,Foodies,30/04/2021,Profit
1216,3,1.205503743,0.110886639,Organic,1.030438066,3,1,DataTech Solutions,Social Media,Women 25-34,30 days,Facebook,0.06,"$8,340.00",5.18,Houston,English,463,7047,2,Fashionistas,01/05/2021,Profit
1217,8,2.345579834,0.424903516,Organic,3.436886404,3,1,TechCorp,Email,Women 35-44,30 days,Email,0.12,"$9,014.00",2.19,New York,French,481,8990,5,Outdoor Adventurers,02/05/2021,Loss
1218,1,9.568020554,0.342495518,Direct,5.221372647,1,1,Innovate Industries,Influencer,All Ages,45 days,Google Ads,0.07,"$11,977.00",5.08,Chicago,Spanish,216,8693,5,Outdoor Adventurers,03/05/2021,Profit
1219,5,0.692081213,0.560271624,Referral,1.481409148,1,0.94993339,Alpha Innovations,Email,Men 25-34,15 days,Facebook,0.02,"$12,675.00",4.86,Chicago,German,611,1114,5,Outdoor Adventurers,04/05/2021,Loss
1220,3,3.191166495,0.34862905,Organic,7.746799378,0,1,NexGen Systems,Email,Men 18-24,45 days,Facebook,0.14,"$11,215.00",3.34,Miami,Mandarin,688,5640,4,Fashionistas,05/05/2021,Loss
1221,5,0.133099476,0.274059665,Paid,2.174493291,2,1,TechCorp,Influencer,Men 25-34,30 days,Email,0.04,"$5,685.00",5.74,Los Angeles,French,435,2918,4,Foodies,06/05/2021,Profit
1222,5,0.206174308,0.660417396,Paid,13.23233754,2,1,NexGen Systems,Influencer,Women 25-34,15 days,Facebook,0.01,"$13,989.00",2.88,New York,French,837,7303,3,Tech Enthusiasts,07/05/2021,Loss
1223,2,2.407736076,0.248938603,Social,8.902093019,4,1,TechCorp,Email,Men 18-24,45 days,YouTube,0.11,"$12,484.00",5.77,Miami,Mandarin,222,1622,9,Health & Wellness,08/05/2021,Profit
1224,7,0.332590824,0.08077609,Referral,2.062910999,3,0.854331291,Alpha Innovations,Social Media,Men 25-34,45 days,Facebook,0.08,"$9,270.00",3.27,Chicago,German,987,9060,10,Foodies,09/05/2021,Loss
1225,2,0.067800784,0.401971046,Social,6.455193015,0,1,Alpha Innovations,Email,Women 35-44,45 days,Instagram,0.1,"$10,539.00",3.27,Houston,Spanish,908,2673,2,Tech Enthusiasts,10/05/2021,Loss
1226,4,0.564462391,0.241075599,Organic,6.719267261,2,1,NexGen Systems,Display,All Ages,15 days,Facebook,0.01,"$7,599.00",3.31,Los Angeles,English,506,8733,9,Foodies,11/05/2021,Loss
1227,5,2.496187724,0.290916967,Referral,2.559096259,2,1,TechCorp,Display,Women 25-34,15 days,Instagram,0.07,"$18,233.00",5.85,Chicago,Mandarin,317,1822,6,Outdoor Adventurers,12/05/2021,Profit
1228,4,3.645515384,0.148753123,Organic,4.180110233,1,1,Alpha Innovations,Search,Men 25-34,45 days,Website,0.11,"$16,358.00",3.74,New York,French,144,6270,5,Fashionistas,13/05/2021,Loss
1229,4,0.678739698,0.183684199,Organic,2.238174383,5,1,Alpha Innovations,Display,Women 35-44,15 days,YouTube,0.14,"$14,642.00",7.4,Miami,Spanish,822,2687,9,Foodies,14/05/2021,Profit
1230,5,3.310206159,0.244735387,Referral,1.339127131,0,1,TechCorp,Email,All Ages,15 days,Instagram,0.12,"$14,796.00",4.07,Los Angeles,Mandarin,337,2216,8,Tech Enthusiasts,15/05/2021,Loss
1231,4,0.604426272,0.098124012,Organic,7.968969534,0,1,DataTech Solutions,Email,All Ages,15 days,Email,0.05,"$6,747.00",7.67,Los Angeles,Mandarin,387,5694,10,Health & Wellness,16/05/2021,Profit
1232,4,2.851539798,0.197219986,Paid,2.979776998,3,1,NexGen Systems,Social Media,All Ages,30 days,Instagram,0.02,"$19,111.00",4.06,Chicago,English,670,3982,3,Health & Wellness,17/05/2021,Loss
1233,5,1.592879285,0.267493859,Social,4.330395962,2,1,NexGen Systems,Display,Women 35-44,15 days,Instagram,0.14,"$16,051.00",3.7,Los Angeles,Spanish,777,1596,3,Foodies,18/05/2021,Loss
1234,7,3.182211657,0.412172583,Organic,7.607891075,3,1,NexGen Systems,Search,Women 35-44,60 days,Facebook,0.06,"$5,214.00",7.03,Chicago,French,869,5462,1,Foodies,19/05/2021,Profit
1235,6,15.92677174,0.10703913,Organic,6.85944309,3,1,TechCorp,Email,Women 35-44,15 days,YouTube,0.15,"$11,348.00",6.21,Chicago,German,414,3758,7,Fashionistas,20/05/2021,Profit
1236,6,8.333019208,0.185198739,Referral,2.44678762,1,1,NexGen Systems,Social Media,Women 35-44,60 days,Email,0.14,"$18,357.00",2.74,New York,German,395,3038,1,Outdoor Adventurers,21/05/2021,Loss
1237,8,0.012872852,0.123834445,Direct,1.890609247,4,0.772729202,Alpha Innovations,Influencer,All Ages,60 days,Google Ads,0.06,"$17,071.00",6.77,Houston,French,772,1724,10,Outdoor Adventurers,22/05/2021,Profit
1238,5,6.49993737,0.274438934,Referral,0.404793497,4,1,NexGen Systems,Email,Men 25-34,60 days,Email,0.09,"$18,435.00",7.91,New York,English,366,5170,2,Foodies,23/05/2021,Profit
1239,2,0.206413366,0.181982105,Paid,6.306514257,0,1,DataTech Solutions,Influencer,All Ages,30 days,Instagram,0.14,"$10,240.00",5.97,Houston,Mandarin,868,3410,8,Outdoor Adventurers,24/05/2021,Profit
1240,4,9.175798091,0.115333911,Organic,3.220545764,3,1,DataTech Solutions,Email,Women 35-44,45 days,YouTube,0.13,"$12,126.00",7.53,Houston,German,605,8048,6,Tech Enthusiasts,25/05/2021,Profit
1241,6,0.993128858,0.355234981,Organic,1.175106603,5,1,NexGen Systems,Display,Women 35-44,45 days,Facebook,0.11,"$16,198.00",6.34,Houston,English,667,7095,10,Outdoor Adventurers,26/05/2021,Profit
